,기입날짜,별점,옵션,후기
16,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
17,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
18,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 호두 싫어하는 저 같은 분들, 아몬드에 누워봅시다🥜🫘🌰 견과류 몸에 좋은건 알지만 왜인지 모르게 호두는 떫기만하고 정이 안가는 취향이라 생아몬드로 사서 약한불에 넓게 펼치고 볶볶 해주었더니 세상 고소하고 담백 바삭한 아몬드 등장-!🌟 볶은 아몬드도 맛있지만 먹을만큼만 그때그때 소량으로 직접 볶아서 바로 먹으면 너무 맛있더라구요🤤 귀여운 원형 패키지통은 버리지말고 놔뒀다가 다른 수납용도로도 쓰려구요 : ) 하루 5개 아몬드 굿굿굿🫶💕 사진/비디오 수 5 "
19,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 너무 고소하고 깔끔해서 좋아요 흠잡을게 하나 없는 우고래빗.. 항상 믿고 먹습니당 👍👍👍👍 
20,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 빈말아니고 정말 우고래빗 아몬드가 젤 고소하고 달달해요!! 아무것도 안들어갔을텐데 그냥 아몬드 자체가 좋은거 같아요! 포장도 깔끔하고 이쁘게 되어 있어 기분 좋네요 사진/비디오 수 2 
21,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
22,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
23,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
24,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 호두 싫어하는 저 같은 분들, 아몬드에 누워봅시다🥜🫘🌰 견과류 몸에 좋은건 알지만 왜인지 모르게 호두는 떫기만하고 정이 안가는 취향이라 생아몬드로 사서 약한불에 넓게 펼치고 볶볶 해주었더니 세상 고소하고 담백 바삭한 아몬드 등장-!🌟 볶은 아몬드도 맛있지만 먹을만큼만 그때그때 소량으로 직접 볶아서 바로 먹으면 너무 맛있더라구요🤤 귀여운 원형 패키지통은 버리지말고 놔뒀다가 다른 수납용도로도 쓰려구요 : ) 하루 5개 아몬드 굿굿굿🫶💕 사진/비디오 수 5 "
25,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 너무 고소하고 깔끔해서 좋아요 흠잡을게 하나 없는 우고래빗.. 항상 믿고 먹습니당 👍👍👍👍 
26,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 빈말아니고 정말 우고래빗 아몬드가 젤 고소하고 달달해요!! 아무것도 안들어갔을텐데 그냥 아몬드 자체가 좋은거 같아요! 포장도 깔끔하고 이쁘게 되어 있어 기분 좋네요 사진/비디오 수 2 
27,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 운동다니면서 간식으로 먹으려고 구매했는데 넘넘 고소하니 맛있어욤  용량도 생각보다 많아서 굿굿  같이 테니스 치고 간단하게 먹고 힘내서 더 신나게 운동합니다 ㅋ   시중에서 파는건 껍질이 까끌거려서 먹을때마다 이빨에 껍찔껴서 짜증났는데 ㅋ 이건 부드러워서 전혀 그런일 없어욤  알맹이도 커서 두세개만 입에 넣고 먹음 짱맛!ㅋ    피스타치오 도 맛있어보이던데 다먹고 도전합니다~ㅋ 사진/비디오 수 5 
28,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
29,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
30,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
31,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 호두 싫어하는 저 같은 분들, 아몬드에 누워봅시다🥜🫘🌰 견과류 몸에 좋은건 알지만 왜인지 모르게 호두는 떫기만하고 정이 안가는 취향이라 생아몬드로 사서 약한불에 넓게 펼치고 볶볶 해주었더니 세상 고소하고 담백 바삭한 아몬드 등장-!🌟 볶은 아몬드도 맛있지만 먹을만큼만 그때그때 소량으로 직접 볶아서 바로 먹으면 너무 맛있더라구요🤤 귀여운 원형 패키지통은 버리지말고 놔뒀다가 다른 수납용도로도 쓰려구요 : ) 하루 5개 아몬드 굿굿굿🫶💕 사진/비디오 수 5 "
32,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 너무 고소하고 깔끔해서 좋아요 흠잡을게 하나 없는 우고래빗.. 항상 믿고 먹습니당 👍👍👍👍 
33,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 빈말아니고 정말 우고래빗 아몬드가 젤 고소하고 달달해요!! 아무것도 안들어갔을텐데 그냥 아몬드 자체가 좋은거 같아요! 포장도 깔끔하고 이쁘게 되어 있어 기분 좋네요 사진/비디오 수 2 
34,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 운동다니면서 간식으로 먹으려고 구매했는데 넘넘 고소하니 맛있어욤  용량도 생각보다 많아서 굿굿  같이 테니스 치고 간단하게 먹고 힘내서 더 신나게 운동합니다 ㅋ   시중에서 파는건 껍질이 까끌거려서 먹을때마다 이빨에 껍찔껴서 짜증났는데 ㅋ 이건 부드러워서 전혀 그런일 없어욤  알맹이도 커서 두세개만 입에 넣고 먹음 짱맛!ㅋ    피스타치오 도 맛있어보이던데 다먹고 도전합니다~ㅋ 사진/비디오 수 5 
35,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 가격도 저렴하고 아몬드 후기가 좋아서 구매해봤습니다 인터넷에서 생아몬드 먹는 방법 본 적 있는데 너무 맛있어 보여서 일부러 생아몬드로 주문했구요 근데 저는 구운아몬드랑 잘 비교가 되지 않을 정도로 너무 맛있어요 ㅎㅎ 무엇보다 뚜껑있는 통으로 포장이 되어 있어서 너무 편합니다 일반적으로 아몬드는 지퍼백으로 포장이 되어 나오는데 아무리 확실하게 동봉 한다고 해도 이렇게 통 있는거에 비하면 금방 묵묵해 지긴 하더라구요 통이 예뻐서 아몬드 다 먹으면 잡곡 넣어두려구요 아몬드 고소하고 너무 맛있네요 ㅎㅎ 사진/비디오 수 4 
36,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
37,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
38,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
39,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 호두 싫어하는 저 같은 분들, 아몬드에 누워봅시다🥜🫘🌰 견과류 몸에 좋은건 알지만 왜인지 모르게 호두는 떫기만하고 정이 안가는 취향이라 생아몬드로 사서 약한불에 넓게 펼치고 볶볶 해주었더니 세상 고소하고 담백 바삭한 아몬드 등장-!🌟 볶은 아몬드도 맛있지만 먹을만큼만 그때그때 소량으로 직접 볶아서 바로 먹으면 너무 맛있더라구요🤤 귀여운 원형 패키지통은 버리지말고 놔뒀다가 다른 수납용도로도 쓰려구요 : ) 하루 5개 아몬드 굿굿굿🫶💕 사진/비디오 수 5 "
40,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 너무 고소하고 깔끔해서 좋아요 흠잡을게 하나 없는 우고래빗.. 항상 믿고 먹습니당 👍👍👍👍 
41,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 빈말아니고 정말 우고래빗 아몬드가 젤 고소하고 달달해요!! 아무것도 안들어갔을텐데 그냥 아몬드 자체가 좋은거 같아요! 포장도 깔끔하고 이쁘게 되어 있어 기분 좋네요 사진/비디오 수 2 
42,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 운동다니면서 간식으로 먹으려고 구매했는데 넘넘 고소하니 맛있어욤  용량도 생각보다 많아서 굿굿  같이 테니스 치고 간단하게 먹고 힘내서 더 신나게 운동합니다 ㅋ   시중에서 파는건 껍질이 까끌거려서 먹을때마다 이빨에 껍찔껴서 짜증났는데 ㅋ 이건 부드러워서 전혀 그런일 없어욤  알맹이도 커서 두세개만 입에 넣고 먹음 짱맛!ㅋ    피스타치오 도 맛있어보이던데 다먹고 도전합니다~ㅋ 사진/비디오 수 5 
43,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 가격도 저렴하고 아몬드 후기가 좋아서 구매해봤습니다 인터넷에서 생아몬드 먹는 방법 본 적 있는데 너무 맛있어 보여서 일부러 생아몬드로 주문했구요 근데 저는 구운아몬드랑 잘 비교가 되지 않을 정도로 너무 맛있어요 ㅎㅎ 무엇보다 뚜껑있는 통으로 포장이 되어 있어서 너무 편합니다 일반적으로 아몬드는 지퍼백으로 포장이 되어 나오는데 아무리 확실하게 동봉 한다고 해도 이렇게 통 있는거에 비하면 금방 묵묵해 지긴 하더라구요 통이 예뻐서 아몬드 다 먹으면 잡곡 넣어두려구요 아몬드 고소하고 너무 맛있네요 ㅎㅎ 사진/비디오 수 4 
44,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 공부 하기전에 몇알씩 꺼내먹는 중이에요  맛있어서 계속 손이 가네요 양도 많아서 대만족중이에요 아몬드랑 꿀이랑 볶아서 먹어도 맛있어요! 사진/비디오 수 3 
45,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
46,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
47,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
48,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 호두 싫어하는 저 같은 분들, 아몬드에 누워봅시다🥜🫘🌰 견과류 몸에 좋은건 알지만 왜인지 모르게 호두는 떫기만하고 정이 안가는 취향이라 생아몬드로 사서 약한불에 넓게 펼치고 볶볶 해주었더니 세상 고소하고 담백 바삭한 아몬드 등장-!🌟 볶은 아몬드도 맛있지만 먹을만큼만 그때그때 소량으로 직접 볶아서 바로 먹으면 너무 맛있더라구요🤤 귀여운 원형 패키지통은 버리지말고 놔뒀다가 다른 수납용도로도 쓰려구요 : ) 하루 5개 아몬드 굿굿굿🫶💕 사진/비디오 수 5 "
49,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 너무 고소하고 깔끔해서 좋아요 흠잡을게 하나 없는 우고래빗.. 항상 믿고 먹습니당 👍👍👍👍 
50,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 빈말아니고 정말 우고래빗 아몬드가 젤 고소하고 달달해요!! 아무것도 안들어갔을텐데 그냥 아몬드 자체가 좋은거 같아요! 포장도 깔끔하고 이쁘게 되어 있어 기분 좋네요 사진/비디오 수 2 
51,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 운동다니면서 간식으로 먹으려고 구매했는데 넘넘 고소하니 맛있어욤  용량도 생각보다 많아서 굿굿  같이 테니스 치고 간단하게 먹고 힘내서 더 신나게 운동합니다 ㅋ   시중에서 파는건 껍질이 까끌거려서 먹을때마다 이빨에 껍찔껴서 짜증났는데 ㅋ 이건 부드러워서 전혀 그런일 없어욤  알맹이도 커서 두세개만 입에 넣고 먹음 짱맛!ㅋ    피스타치오 도 맛있어보이던데 다먹고 도전합니다~ㅋ 사진/비디오 수 5 
